Experiment,Name_tag,Date,N_or_D,TC_corrected,sd_TC,Vel,sd_vel,ignition_type,ign_code,glowing_time,t_ig,max_flame_height_cm,Gas_phase_ign,Gas_phase_ign_loc_cm,Gas_phase_flame_speed_mps,fmc_p,sd_FMC
1,N_T1_01,22/04/2024 0:00,N,468.6861779,17.81,2.455,0.173,FI,1,3,9.5,64.66,0,,,89.45334616,0.031743443
1,N_T1_02,22/04/2024 0:00,N,468.6861779,17.81,2.455,0.173,FI,1,3.5,7.8,57.37,0,,,89.45334616,0.031743443
1,N_T1_03,22/04/2024 0:00,N,468.6861779,17.81,2.455,0.173,FI,1,4,6.5,40.85,0,,,89.45334616,0.031743443
1,N_T2_01,22/04/2024 0:00,N,415.2157651,9.935,2.308,0.168,FI,1,12,48,44.83,1,,,89.45334616,0.031743443
1,N_T2_02,22/04/2024 0:00,N,415.2157651,9.935,2.308,0.168,FI,1,23,55,26.1,0,,,89.45334616,0.031743443
1,N_T2_03,22/04/2024 0:00,N,415.2157651,9.935,2.308,0.168,FI,1,34,49,52.12,1,1.80364,5.4036,89.45334616,0.031743443
1,N_T3_01,22/04/2024 0:00,N,404.5004016,9.947,2.3,0.15,FI,1,149,155,41.78,0,,,89.45334616,0.031743443
1,N_T3_02,22/04/2024 0:00,N,404.5004016,9.947,2.3,0.15,FI,1,6,7,40.34,0,,,89.45334616,0.031743443
1,N_T3_03,22/04/2024 0:00,N,404.5004016,9.947,2.3,0.15,FI,1,120,129,41.53,0,,,89.45334616,0.031743443
1,N_T4_01,22/04/2024 0:00,N,400.5882752,6.704,2.38,0.135,FI,1,177,179,39.32,0,,,89.45334616,0.031743443
1,N_T4_02,22/04/2024 0:00,N,400.5882752,6.704,2.38,0.135,FI,1,78,82.5,46.95,0,,,89.45334616,0.031743443
1,N_T4_03,22/04/2024 0:00,N,400.5882752,6.704,2.38,0.135,FI,1,11,11.5,67.8,0,,,89.45334616,0.031743443
1,N_T5_01,22/04/2024 0:00,N,381.9190364,4.349,2.379,0.127,NI,0,,,,0,,,89.45334616,0.031743443
1,N_T5_02,22/04/2024 0:00,N,381.9190364,4.349,2.379,0.127,NI,0,,,,0,,,89.45334616,0.031743443
1,N_T5_03,22/04/2024 0:00,N,381.9190364,4.349,2.379,0.127,NI,0,,,,0,,,89.45334616,0.031743443
1,N_T6_01,22/04/2024 0:00,N,393.3639051,4.494,2.425,0.122,NI,0,,,,0,,,89.45334616,0.031743443
1,N_T6_02,22/04/2024 0:00,N,393.3639051,4.494,2.425,0.122,NI,0,,,,0,,,89.45334616,0.031743443
1,N_T6_03,22/04/2024 0:00,N,393.3639051,4.494,2.425,0.122,NI,0,,,,0,,,89.45334616,0.031743443
2,N_T1_01,23/04/2024 0:00,N,504.6292852,14.034,2.659,0.146,FI,1,2,6,56.17,0,,,76.46544677,0.020661239
2,N_T1_02,23/04/2024 0:00,N,504.6292852,14.034,2.659,0.146,FI,1,3,4,41.5,1,4.63742,4.0834,76.46544677,0.020661239
2,N_T1_03,23/04/2024 0:00,N,504.6292852,14.034,2.659,0.146,FI,1,4,7,51.42,0,,,76.46544677,0.020661239
2,D_T1_01,23/04/2024 0:00,D,504.6292852,14.034,2.659,0.146,FI,1,1.5,5,53.67,0,,,77.19420795,0.021173644
2,D_T1_02,23/04/2024 0:00,D,504.6292852,14.034,2.659,0.146,FI,1,3,7.5,52.92,0,,,77.19420795,0.021173644
2,D_T1_03,23/04/2024 0:00,D,504.6292852,14.034,2.659,0.146,FI,1,0.5,5.5,59,0,,,77.19420795,0.021173644
2,N_T2_01,23/04/2024 0:00,N,463.2788593,10.973,2.475,0.155,FI,1,6,9,40.08,1,5.47619,3.9131,76.46544677,0.020661239
2,N_T2_02,23/04/2024 0:00,N,463.2788593,10.973,2.475,0.155,FI,1,8,10.5,45.92,0,,,76.46544677,0.020661239
2,N_T2_03,23/04/2024 0:00,N,463.2788593,10.973,2.475,0.155,FI,1,5,7,53.58,0,,,76.46544677,0.020661239
2,D_T2_01,23/04/2024 0:00,D,463.2788593,10.973,2.475,0.155,FI,1,5,9.5,62.75,0,,,77.19420795,0.021173644
2,D_T2_02,23/04/2024 0:00,D,463.2788593,10.973,2.475,0.155,FI,1,3.5,12,44.75,0,,,77.19420795,0.021173644
2,D_T2_03,23/04/2024 0:00,D,463.2788593,10.973,2.475,0.155,FI,1,3,7,52.75,0,,,77.19420795,0.021173644
2,N_T3_01,23/04/2024 0:00,N,424.8625282,14.771,2.367,0.158,FI,1,3,4,41.75,0,,,76.46544677,0.020661239
2,N_T3_02,23/04/2024 0:00,N,424.8625282,14.771,2.367,0.158,FI,1,3,6,75.42,0,,,76.46544677,0.020661239
2,N_T3_03,23/04/2024 0:00,N,424.8625282,14.771,2.367,0.158,FI,1,17,22.5,52.67,0,,,76.46544677,0.020661239
2,D_T3_01,23/04/2024 0:00,D,424.8625282,14.771,2.367,0.158,FI,1,6,13.5,70.33,1,3.79808,4.105,77.19420795,0.021173644
2,D_T3_02,23/04/2024 0:00,D,424.8625282,14.771,2.367,0.158,FI,1,21,24.5,62.08,0,,,77.19420795,0.021173644
2,D_T3_03,23/04/2024 0:00,D,424.8625282,14.771,2.367,0.158,FI,1,20,23,58.42,0,,,77.19420795,0.021173644
2,N_T4_01,23/04/2024 0:00,N,410.9868992,10.471,2.357,0.14,FI,1,59,75,36.92,0,,,76.46544677,0.020661239
2,N_T4_02,23/04/2024 0:00,N,410.9868992,10.471,2.357,0.14,FI,1,59,66,45.25,0,,,76.46544677,0.020661239
2,N_T4_03,23/04/2024 0:00,N,410.9868992,10.471,2.357,0.14,FI,1,7,57.5,34.17,1,2.39234,5.7416,76.46544677,0.020661239
2,D_T4_01,23/04/2024 0:00,D,410.9868992,10.471,2.357,0.14,FI,1,35,39,56.92,0,,,77.19420795,0.021173644
2,D_T4_02,23/04/2024 0:00,D,410.9868992,10.471,2.357,0.14,FI,1,61,66,52.42,0,,,77.19420795,0.021173644
2,D_T4_03,23/04/2024 0:00,D,410.9868992,10.471,2.357,0.14,FI,1,78,96,34.42,0,,,77.19420795,0.021173644
2,N_T5_01,23/04/2024 0:00,N,391.5121869,9.469,2.341,0.124,NI,0,,,,0,,,76.46544677,0.020661239
2,N_T5_02,23/04/2024 0:00,N,391.5121869,9.469,2.341,0.124,NI,0,,,,0,,,76.46544677,0.020661239
2,N_T5_03,23/04/2024 0:00,N,391.5121869,9.469,2.341,0.124,NI,0,,,,0,,,76.46544677,0.020661239
2,D_T5_01,23/04/2024 0:00,D,391.5121869,9.469,2.341,0.124,NI,0,,,,0,,,77.19420795,0.021173644
2,D_T5_02,23/04/2024 0:00,D,391.5121869,9.469,2.341,0.124,NI,0,,,,0,,,77.19420795,0.021173644
2,D_T5_03,23/04/2024 0:00,D,391.5121869,9.469,2.341,0.124,NI,0,,,,0,,,77.19420795,0.021173644
2,N_T6_01,23/04/2024 0:00,N,401.2694484,6.025,2.378,0.135,NI,0,,,,0,,,76.46544677,0.020661239
2,N_T6_02,23/04/2024 0:00,N,401.2694484,6.025,2.378,0.135,NI,0,,,,0,,,76.46544677,0.020661239
2,N_T6_03,23/04/2024 0:00,N,401.2694484,6.025,2.378,0.135,NI,0,,,,0,,,76.46544677,0.020661239
2,D_T6_01,23/04/2024 0:00,D,401.2694484,6.025,2.378,0.135,FI,1,129,152,30.42,0,,,77.19420795,0.021173644
2,D_T6_02,23/04/2024 0:00,D,401.2694484,6.025,2.378,0.135,FI,1,8,21,54,0,,,77.19420795,0.021173644
2,D_T6_03,23/04/2024 0:00,D,401.2694484,6.025,2.378,0.135,NI,0,,,,0,,,77.19420795,0.021173644
3,N_T1_01,24/04/2024 0:00,N,486.8730249,14.644,2.585,0.151,FI,1,4,8.5,51.7,0,,,47.96433075,0.109932112
3,N_T1_02,24/04/2024 0:00,N,486.8730249,14.644,2.585,0.151,FI,1,6,11,55.09,1,3.60577,5.5289,47.96433075,0.109932112
3,N_T1_03,24/04/2024 0:00,N,486.8730249,14.644,2.585,0.151,FI,1,4,9,49.62,0,,,47.96433075,0.109932112
3,D_T1_01,24/04/2024 0:00,D,486.8730249,14.644,2.585,0.151,FI,1,1.5,3,69.43,0,,,8.33815371,0.033040533
3,D_T1_02,24/04/2024 0:00,D,486.8730249,14.644,2.585,0.151,FI,1,2.5,5,88.49,0,,,8.33815371,0.033040533
3,D_T1_03,24/04/2024 0:00,D,486.8730249,14.644,2.585,0.151,FI,1,3,4.5,70.94,1,5.2381,4.762,8.33815371,0.033040533
3,N_T2_01,24/04/2024 0:00,N,456.3652349,15.692,2.494,0.149,FI,1,8,10,52.64,0,,,47.96433075,0.109932112
