T_gas (°C),t_ignition (s)
387.0,
388.0,
389.0,
390.0,
391.0,
392.0,
393.0,
394.0,
395.0,
396.0,
397.0,
398.0,
399.0,
400.0,
401.0,
402.0,
403.0,18.75000000000013
404.0,16.259999999999742
405.0,14.929999999999726
406.0,14.019999999999746
407.0,13.32999999999976
408.0,12.769999999999772
409.0,12.299999999999782
410.0,11.889999999999791
411.0,11.539999999999798
412.0,11.219999999999805
413.0,10.939999999999811
414.0,10.679999999999817
415.0,10.439999999999822
416.0,10.219999999999827
417.0,10.01999999999983
418.0,9.829999999999835
419.0,9.649999999999839
420.0,9.479999999999842
421.0,9.319999999999846
422.0,9.169999999999849
423.0,9.029999999999852
424.0,8.889999999999855
425.0,8.769999999999857
426.0,8.63999999999986
427.0,8.519999999999863
428.0,8.409999999999865
429.0,8.299999999999867
430.0,8.19999999999987
431.0,8.099999999999872
432.0,7.999999999999874
433.0,7.909999999999876
434.0,7.809999999999878
435.0,7.72999999999988
436.0,7.6399999999998816
437.0,7.559999999999883
438.0,7.479999999999885
439.0,7.399999999999887
440.0,7.329999999999888
441.0,7.24999999999989
442.0,7.179999999999891
443.0,7.109999999999893
444.0,7.039999999999894
445.0,6.979999999999896
446.0,6.909999999999897
447.0,6.849999999999898
448.0,6.7899999999999
449.0,6.729999999999901
450.0,6.669999999999902
451.0,6.6099999999999035
452.0,6.559999999999905
453.0,6.499999999999906
454.0,6.449999999999907
455.0,6.399999999999908
456.0,6.349999999999909
457.0,6.28999999999991
458.0,6.249999999999911
459.0,6.199999999999912
460.0,6.149999999999913
461.0,6.099999999999914
462.0,6.059999999999915
463.0,6.009999999999916
464.0,5.969999999999917
465.0,5.919999999999918
466.0,5.879999999999919
467.0,5.83999999999992
468.0,5.799999999999921
469.0,5.759999999999922
470.0,5.7199999999999225
471.0,5.679999999999923
472.0,5.639999999999924
473.0,5.599999999999925
474.0,5.559999999999926
475.0,5.5299999999999265
476.0,5.489999999999927
477.0,5.459999999999928
478.0,5.419999999999929
479.0,5.3899999999999295
480.0,5.34999999999993
481.0,5.319999999999931
482.0,5.289999999999932
483.0,5.2499999999999325
484.0,5.219999999999933
485.0,5.189999999999934
486.0,5.159999999999934
487.0,5.129999999999935
488.0,5.099999999999936
489.0,5.069999999999936
490.0,5.039999999999937
491.0,5.009999999999938
492.0,4.979999999999938
493.0,4.949999999999939
494.0,4.9199999999999395
495.0,4.88999999999994
496.0,4.859999999999941
497.0,4.839999999999941
498.0,4.809999999999942
499.0,4.7799999999999425
500.0,4.759999999999943
501.0,4.729999999999944
502.0,4.709999999999944
503.0,4.679999999999945
504.0,4.649999999999945
505.0,4.629999999999946
506.0,4.609999999999946
507.0,4.579999999999947
508.0,4.559999999999947
509.0,4.529999999999948
